"FECHA DE ATENCIÓN","SERVICIO DE ATENCIÓN","N° DE RECETAS","N° PRESCRIPCIONES","Controlados (Receta Blanca)","Controlados (Receta verde)","TIPO DE ATENCIÓN","ÁREA"
"10-05-2024","Med. General Policlínico Crónicos (+ de 1 mes)","20","34","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"10-05-2024","Controlados","56","56","0","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"10-05-2024","Med. Especialidad Morbilidad (1 mes o menos)","52","74","1","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"10-05-2024","Med. Especialidad crónico (+ de 1 mes)","208","582","18","","ATENCIÓN ABIERTA","Farmacia de Atención Abierta"
"10-05-2024","Recuperación","1","1","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"10-05-2024","HODOM","4","6","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"10-05-2024","Endoscopía","10","10","10","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"10-05-2024","Controlados","18","18","0","","ATENCIÓN ABIERTA","Farmacia de Atención Cerrada"
"10-05-2024","Alta","9","29","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"10-05-2024","Pabellón","4","36","2","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"10-05-2024","UPC UTI (4-12)","10","58","1","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"10-05-2024","Mater","18","65","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"10-05-2024","Pediatria","12","78","0","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"10-05-2024","Medicina","30","167","5","","ATENCIÓN CERRADA","Farmacia de Atención Cerrada"
"10-05-2024","Pabellón","1","3","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"10-05-2024","Mater","7","11","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"10-05-2024","Medicina","8","31","0","","ATENCIÓN CERRADA","Farmacia de Urgencia"
"10-05-2024","Urgencia","237","431","0","","ATENCIÓN DE URGENCIA","Farmacia de Urgencia"
"11-05-2024","Medicina","0","0","3","","ATENCIÓN CERRADA","Farmacia de Atención Abierta"
"11-05-2024","Urgencia","0","0","5","","ATENCIÓN DE URGENCIA","Farmacia de Atención Abierta"
